DEPT	AC	GR	SP	DEN	por	per	sw
2531	81.45	59.099	-212.782	2.462	8.145	5.9099	5.9099
2531.125	81.623	60.628	-211.456	2.457	8.1623	6.0628	6.0628
2531.25	81.248	57.773	-210.579	2.454	8.1248	5.7773	5.7773
2531.375	81.002	58.205	-210.067	2.453	8.1002	5.8205	5.8205
2531.5	80.756	58.05	-209.859	2.462	8.0756	5.805	5.805
2531.625	79.748	57.05	-211.121	2.469	7.9748	5.705	5.705
2531.75	78.927	56.569	-212.131	2.485	7.8927	5.6569	5.6569
2531.875	77.925	53.947	-211.955	2.503	7.7925	5.3947	5.3947
2532	76.001	52.266	-210.796	2.514	7.6001	5.2266	5.2266
2532.125	74.729	51.071	-211.719	2.531	7.4729	5.1071	5.1071
2532.25	73.791	51.586	-210.253	2.529	7.3791	5.1586	5.1586
2532.375	75.28	53.495	-210.381	2.517	7.528	5.3495	5.3495
2532.5	77.058	54.117	-211.031	2.495	7.7058	5.4117	5.4117
2532.625	78.471	57.009	-210.919	2.473	7.8471	5.7009	5.7009
2532.75	81.844	58.598	-209.789	2.463	8.1844	5.8598	5.8598
2532.875	81.515	61.167	-208.558	2.456	8.1515	6.1167	6.1167
2533	82.271	64.024	-208.066	2.461	8.2271	6.4024	6.4024
2533.125	82.533	65.361	-207.788	2.465	8.2533	6.5361	6.5361
2533.25	82.276	64.402	-207.495	2.469	8.2276	6.4402	6.4402
2533.375	81.952	61.232	-207.144	2.476	8.1952	6.1232	6.1232
2533.5	80.926	59.102	-206.837	2.483	8.0926	5.9102	5.9102
2533.625	80.812	58.236	-206.529	2.492	8.0812	5.8236	5.8236
2533.75	80.54	58.286	-206.257	2.497	8.054	5.8286	5.8286
2533.875	80.17	58.581	-206.075	2.499	8.017	5.8581	5.8581
2534	80.085	56.987	-206.068	2.495	8.0085	5.6987	5.6987
2534.125	80.767	57.517	-206.267	2.477	8.0767	5.7517	5.7517
2534.25	81.137	58.926	-205.293	2.454	8.1137	5.8926	5.8926
2534.375	82.287	60.748	-205.04	2.449	8.2287	6.0748	6.0748
2534.5	83.025	61.939	-205.031	2.456	8.3025	6.1939	6.1939
2534.625	83.538	59.078	-205.143	2.465	8.3538	5.9078	5.9078
2534.75	84.03	59.463	-205.224	2.467	8.403	5.9463	5.9463
2534.875	83.333	59.006	-204.712	2.457	8.3333	5.9006	5.9006
2535	83.846	58.266	-204.931	2.459	8.3846	5.8266	5.8266
